Date,Open,High,Low,Close,Volume
2024-08-16,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0
2024-08-19,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0
2024-08-20,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0
2024-08-21,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0
2024-08-22,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0
2024-08-23,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0
2024-08-26,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0
2024-08-27,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0
2024-08-28,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,4000
2024-08-29,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-08-30,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-03,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-04,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-05,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-06,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-09,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-10,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-11,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-12,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-13,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-16,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-17,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-18,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-19,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-20,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-23,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-24,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-25,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-26,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-27,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-09-30,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-01,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-02,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-03,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-04,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-07,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-08,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-09,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-10,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-11,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-14,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-15,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-16,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-17,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-18,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-21,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-22,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-23,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-24,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-25,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-28,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-29,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-30,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-10-31,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-01,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-04,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-05,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-06,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-07,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-08,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-11,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-12,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-13,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-14,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-15,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-18,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-19,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-20,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-21,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-22,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-25,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-26,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-27,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-11-29,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-02,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-03,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-04,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-05,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-06,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-09,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-10,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-11,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-12,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-13,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-16,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-17,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-18,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-19,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-20,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-23,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-24,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-26,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-27,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-30,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2024-12-31,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-02,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-03,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-06,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-07,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-08,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-10,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-13,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-14,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-15,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-16,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-17,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-21,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-22,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-23,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-24,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-27,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-28,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-29,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-30,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-01-31,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-03,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-04,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-05,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-06,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-07,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-10,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-11,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-12,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-13,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-14,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-18,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-19,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-20,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-21,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-24,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-25,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-26,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-27,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-02-28,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-03,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-04,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-05,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-06,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-07,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-10,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-11,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-12,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-13,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-14,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-17,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-18,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-19,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-20,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-21,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-24,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-25,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-26,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-27,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-28,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-03-31,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-04-01,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-04-02,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-04-03,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-04-04,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-04-07,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-04-08,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-04-09,0.02199999988079071,0.02199999988079071,0.02199999988079071,0.02199999988079071,0
2025-04-10,0.01810000091791153,0.018200000748038292,0.01810000091791153,0.018200000748038292,600000
2025-04-11,0.018799999728798866,0.018799999728798866,0.018200000748038292,0.018200000748038292,1050000
2025-04-14,0.018200000748038292,0.018200000748038292,0.018200000748038292,0.018200000748038292,0
2025-04-15,0.018200000748038292,0.018200000748038292,0.018200000748038292,0.018200000748038292,0
2025-04-16,0.018200000748038292,0.018200000748038292,0.018200000748038292,0.018200000748038292,0
2025-04-17,0.018200000748038292,0.018200000748038292,0.018200000748038292,0.018200000748038292,0
2025-04-21,0.018200000748038292,0.018200000748038292,0.018200000748038292,0.018200000748038292,0
2025-04-22,0.018200000748038292,0.018200000748038292,0.018200000748038292,0.018200000748038292,0
2025-04-23,0.018200000748038292,0.018200000748038292,0.018200000748038292,0.018200000748038292,0
